content,Quality,Service,Shipping,Packing
68,Nhận hàng xong mình k biết làm gì với nó vì không có ốc vít mà cũng k biết liên hệ ai vì lỡ xé cái đơn hàng khi mở hàng thôi thì tốn thêm 1 lần tiền kêu thợ mộc giúp. Lần sau k dám mua đồ online nữa 😭😭😭,0,,,
69,Mình mua về chỉ mới cắm điện thôi để bắt sóng cục repeater mà k thấy hiển thị sóng. Mong shop xem lại để em đổi trả hàng ạ. Sản phẫm lỗi k dùng được,0,,,
70,"Máy xài được có 3 lần thì bị chập mạch, nổ bụp rồi tắt cả nguồn điện của nhà. Đề nghị bộ phận bảo hành liên hệ để kiểm tra sản phẩm.",0,1,,
76,"Sản phẩm nhận được cắm sạc không lên, mình liên hệ shop xử lý rất chậm",0,,,
77,Dùng đc 3 lần thì khoá bị hỏng. Shop nên bọc cả combo vào 1 túi nilon thay vì mỗi 1 túi lưới lại đc bọc bằng 1 túi nilon tạo nhiều rác thải ko cần thiết.,0,,,
78,"Mình mua bộ đèn sao, bộ trăng sao sao gửi  mình 2 bộ sao vậy  shop?, bộ trăng sao mắc hơn bộ sao ko nhiều mà",0,,,
84,Sách dinh vết bẩn lớn ở phía ngoài,0,,,
85,"em trao trẻ trái tim 
trẻ trao em chiếc bookmark lỗi 
😭😭😭",0,,,
86,"Mua được 10 ngày thì bị lỗi không kết nối được, làm lại nhiều lần cũng không được (Đèn vàng nháy liên tục mà không tắt).",0,,,
87,Nhìn khá mờ mình gần như ko thấy gì,0,,,
90,"Sách bìa bị bóp, dơ, bị dính mực, giấy dính nhiều. Mình đã phản hồi lên Tiki rồi, up hình lên để thấy hiện trạng sách. Mua Thiên Thần và Ác Quỷ và cuốn này cùng lúc, mà cuốn này kho Sài Gòn, cuốn kia kho Cần Thơ mà sao Sài Gòn xấu quá, Cần Thơ nhìn đẹp mà không thấy bị gì....",0,,,
91,Mình muốn trả hàng. Đèn giao cho mình hỏng rồi không dùng đuoc,0,1,,
92,"cây lau rất yếu, khóa cài lỏng lẻo, dễ gãy",0,,,
97,Quá thất vọng. Chờ đợi bao nhiêu ngày nhận dc hàng xài kg dc,0,,,
98,"Vô cùng khó chịu với cách làm bookcover của happy life._x000D_
Sao ko in luôn lên bìa cứng như cuốn Ký Ức Vĩnh Cữu ?_x000D_
Cover để riêng làm tôi phải cắt ra dán vào sách chứ để cover cầm vô cùng khó chịu_x000D_
Quá tệ và đã nhận xét ko dưới 5 lần _x000D_
Vô cùng tệ hại về trải nghiệm ban đầu",0,,,
103,Mua về mấy ngày hỏng. Dùng chán ko tả nổi,0,,,
104,"Gối foam nên có tính đàn hồi. Mình là nam, cao 1m7 khi nằm thấy cũng bình thường. Sau 1 đêm mình ngủ thì sáng dậy mình đau vùng cổ vai gáy mà trước giờ mình nằm gối cũ vẫn không hề bị đau. Mình đã quay lại sử dụng cái gối cũ vì sản phẩm này khui ra rồi thì không được đổi trả dù khi ngủ mình đã bọc lại gối kĩ càng. 

Khuyên các bạn hạn chế mua gối trên mạng mà hãy ra tận cửa hàng lựa cái gối ưng ý.",0,,,
105,"rất không hài lòng, chép phim từ laptop sang với lỗ usb 2.0, lúc đầu được khoảng 15MB, được một lúc giảm còn khoảng 5MB, thật sự rất tệ. Có đổi hàng được không Shop",0,1,,
106,Mã mà được tặng kèm sách để học phát âm theo k dùng được trên mt . Mình k đx dùng đt nên coi như chả đc nhận cách phát âm luôn,0,,,
107,tốc độ đọc khá chậm . chất liệu nhựa cầm khá nhẹ độ bền ko rõ nhưng ssd mà tốc độ đọc 150.200mb,0,,,
110,bàn phím không sử dụng được. có nút bấm dc nút không,0,,,
111,"giao hàng đúng thời gian, đủ số lượng gỗ ốc. tuy nhiên nên bắt ốc chỗ nối giữa 2 ngăn (không biết do quên hay chủ thiết kệ vậy). 2 ngăn rời nhau nên chưa chắc lắm khi lắp ghép vào",0,,,
112,Mình bỏ gì lên cân cũng không được hết. Mong tiki chỏ mình đổi hoặc trả hàng.,0,1,,
118,"1/ Hàng giao đến chưa sử dụng đã bị bung ra như hình ảnh kèm theo. Show những cây đinh ra luôn
2/ Một số thanh gỗ quên bào. nên bi trầy, tưa gỗ
3/ Lắp ráp quá đau tay.
Không hài lòng",0,,,
120,"Trang sách mờ mịt, mực và nét không đều, tệ hơn cả bản photocopy. Sau này phải tránh NXB này ra.",0,,,
121,Phía dưới chỗ khoanh tròn là phần tính năng đặc biệt nhưng điện thoại lại k có? Cũng không có ứng dụng kép luôn. Đây là lỗi điện thoại thế nào đây tiki? Cần hỗ trợ,0,1,,
122,"giao hàng gì mà quá cũ, như bỏ ngoài trời lâu năm. mua hàng mới chứ ai mua hàng cũ. mà có giao hàng thì nên làm sao cho nó như mới.",0,,,
123,Bắt Bluetooth quá yếu . Kết nối với tai nghe Bluetooth cách có 1 m mà không bắt được.lúc được lúc mất. Chất lượng quá kém,0,,,
124,khăn sấu ko như ý. màu nhợt nhạt,0,,,
127,k nên mua,0,,,
129,"nội dung chẳng có gì đáng đọc. cứ ngỡ là mua một cuốn sách hài hước nào ngờ nó giống tập hợp mấy câu status đăng chơi trên facebook.
cho 2 sao vì đóng gói cẩn thận.",0,,,1
130,Đúng là quyển sách buồn cười. Buồn cười vì viết vậy mà cũng là sách,0,,,
133,"Vấn đề bị sọc toàn bộ, đổi trả lại như thế nào",0,1,,
134,"Xin lỗi sản phẩm của bạn không có kí hiệu, thông tin nào trên sản phẩm. Không chấp nhận được.",0,,,
138,"Ổ cứng mình nhận không quay, mình đã thử mọi cách vẫn không tìm thấy thiết bị, kiểm tra thì đã ghim đủ nguồn và dữ liệu nhưng ổ cứng vẫn im re. mong sẽ được đổi ổ cứng khác.",0,,,
140,"Không hài lòng vì sách vẫn bị dính trang với nhau, phải lấy dao rọc mới lật đọc được. Cảm giác như mua phải sách hàng nhái.",0,,,
141,"Kinh nghiệm thương đau đây:
1. Khi mở hàng, việc đầu tiên là nên so sánh kích thiết các bộ phận có đều nhau hay không, ko là bị so le (như hình, mình đã phải chêm 1 lớp giấy đệm để cân bằng) - bỏ thời gian lắp mệt xỉu lại phải tháo để đổi trả.
2. Lắp từ dưới lên, để hổng phần trên để khi gắn mấy bộ phận sau lên trên không bị khít quá mà khó gắn được. Vặn ốc đủ để cố định thôi, gắn đủ bộ phần rồi hãy xiết.

P/S: thực tết mẫu này rất tốt, nặng & chắc, giá gũng dễ chịu. Mỗi tội mình xui gặp phải hàng gia công bị lỗi nên hơi bực mình.",0,,,
142,"hộp rất lỏng lẻo , kg chắc chắn",0,,,
144,"Hàng giao nhanh ._x000D_
Lên mạng 30p đã nóng máy",0,,1,
147,"quá tệ, máy giao mà vỡ mà hình, đổi thì đến mấy ngày",0,,,
148,có hơi chậm tín hiệu kém và một số vấn đề,0,,,
149,"quá tệ, khăn quá mỏng và ko thấm nước",0,,,
150,Đã bón 3 tuần không thấy hiệu quả gì cả,0,,,
155,"Chổi về sạc pin không vô sao khi sài hết pin , không báo sạc pin luôn",0,,,
156,Chạy không ổn định chút nào. Thử đơn sống 2.4G ngồi kế bên và cách mấy bức tường bằng speedtest. Lên nhanh rồi xuống từ từ. Thử sống 5G ngồi kế bên và cách 1 bức tường có mạnh hơn khi ngồi kế bên nhưng vẫn xuống một cái ào. (Router gốc vẫn ổng định sống),0,,,
159,"Tiki giao hàng nhanh và đúng hẹn. Sách mới có bao gói cẩn thận. Tuy nhiên không biết sách in thế nào mà cứ vài tờ giấy trắng lẫn vài tờ giấy vàng, khó chịu vô cùng. Có cảm giác nguồn sách không uy tín...",0,,1,
160,"gởi hàng thiếu viên pin. 
Hàng khó điều khiển, bay lệch quỹ đạo",0,,,
161,"- nhận hàng sáng 15/11/2020
- màn hình có 01 điểm chết đối với màu trắng và xanh lá.
- Yêu cầu đổi trả hàng thì Tiki nói để ASUS liên hệ để kỹ thuật viên kiểm tra
- Tối ASUS gọi điện nói rằng phải đem lên trung tâm bảo hành; việc đổi trả là do ""ASUS có quyền quyết định"".

Cảm giác mất tiền ngu.",0,1,,
162,Không hoạt động tốt. Sản phẩm không chất lượng,0,,,
163,sách không màu như sách photo,0,,,
166,"Đèn sạc không vào, không sáng",0,,,
167,"Sản phẩm đúng mô tả. Nhưng công suất phủ sóng diện rộng 2.4G thua Modem của nhà mạng Viettel. Băng tầng 5G thì băng thông lớn nhưng chỉ gần modem thôi. Nhà 1 trệt + 1 lầu, diện tích sàn 100m2, modem treo tường chỗ cầu thang giữa nhà mà phòng cuối tín hiệu rất yếu, thua modem nhà mạng.",0,,,
168,"Wifi lag, đang xài tự nhiên văng ra, có khi không vào được",0,,,
170,Chuông xài phập phù khi được khi mất dù chỉ từ trệt lên lầu 1.,0,,,
171,"Sản phẩm lỗi, IP không nhận được. Nhờ tiki hỗ trợ đổi trả. Đơn hàng này tôi mua 2 wifi router thì 1 dùng được, 1 bị lỗi",0,,,
173,sách bị cong thất vọng không ưng lắm 3 sao là đã châm trc lắm rồi chứ chỉ đáng 2 sao :))),0,,,
174,"keo hơi đặc, nhiệt độ thấy vẫn thế.",0,,,
178,"dễ sử dụng nhưng bắt sóng rất yếu, thua cả loại nano không có anten",0,,,
180,không như ý mình muốn.mờ mắt luôn,0,,,
181,"Hộp mực này in không được. Khi in ra mực đã in không đều. 1 trang A4 nhưng không in được đầy đủ, nó chừa lại vài dòng trên trang A4. Mình muốn hoàn trả lại hộp mực này, nếu có thể, xin vui lòng hỗ trợ mình.",0,1,,
182,"Tưởng mua được giá hời hoá ra lại không. Giấy mỏng, thấy cả trang sau tập. Màu sắc các trang ko đồng đều, có trang trắng tinh có trang trắng ngà mực in dòng kẻ của các trang cũng ko đều, có trang đậm có trang hơi mờ. 14k/cuốn so với chất lượng tính ra ko rẻ chút nào",0,,,
183,màu của hàng ko đúng như trên hình,0,,,
185,"Sách từ 2019 nên không tay gập có thể thông cảm được. Nhưng bìa mỏng quá, cải thiện thêm đi.",0,,,
187,"Sticker cắt dán k kỹ, dễ rách khi lấy ra dán",0,,,
188,sách mới mà đọc tới trang này rõ chán,0,,,
190,"Sản phẩm không có đồ gì để đín lên tường, không giống trong hình",0,,,
195,"Quá tệ,dây không như mong đợi, kém chất lượng",0,,,
197,Bản giao cho mình bị sai chính tả nhiều cực kỳ khó chịu dù nội dung ok,0,,,
198,"Sản phẩm không như quảng cáo, chất liệu đũa inox không phải inox304 .",0,,,
200,"Giao thiếu, mới nhận có 1 cái",0,,,
201,"quyển sách này hơi mang hướng độc đoán  và có những suy nghĩ phong kiến như trọng nam kinh nữ ; cổ hủ khi coi việc không lập gia đình là bắt nguồn từ đi du học ,không lập gia đình là bị dị  nghị ,là đồng tính và 1 số các chi tiết khác .Bên cạnh đó thì cũng có 1 số cái rất hữu ích .tóm lại là khá thất vọng về sách",0,,,
203,"Sau khi gắn ram và sử dụng máy đc vài ngày thì xuất hiện lỗi màn hình xanh, nhờ ad hướng dẫn giúp",0,,,
204,khăn mỏng  so với giá khuyến mãi thì tạm được,0,1,,
207,"Màn hình lỗi, gọi tổng đài yêu cầu đổi trả cả chục cuộc mà không ai nghe máy.",0,,,
210,"1 cục thì ổn, cục còn lại thì mất kết nối liên tục, có kết nối được thì tốc độ cũng cực kì chậm,  dù 2 cục đặt cách nhau có vài mét. Đang liên hệ Tiki để trả hàng hoàn tiền",0,1,,
212,"Bản dịch này tệ quá, dùng nhiều từ miền nam hồi xưa như tánh mệnh, bịnh nhơn, đồng thị... đọc rất mệt. Không biết có phải do bản dịch không mà đọc cuốn này mình không thấm nổi. 
Tiki giao hàng nhanh và sách đẹp.",0,1,1,
213,"không dính được lên tường
cho tôi 2 cái thấp như nhau,bất tiện trong sử dụng vì không có cái nào cắm được bàn chải đánh răng và kem đánh răng",0,,,
214,Sài ko ok mới đã ghịn nước ra ngoài,0,,,
216,"Không thể kết nối được với router, liên tục báo lỗi kết nối do quá thời gian mặc dù tôi đã làm đủ cách theo hướng dẫn.",0,,,
218,"Không dùng đc, đúng là tiền nào của thể.",0,,,
219,"Hàng cùi bắp k phải gắn pin sạc k có tác dụng qá tệ, miêu tả thì pin sạc giao thì loại pin tiểu AAA",0,,,
221,nhựa mỏng. thanh cài cố định ko chắc chắn,0,,,
222,"Làm ăn cẩu thả, sách rách nhưng vẫn giao",0,,,
223,GIao không đúng màu đã đặt,0,,,
224,HIV giao khác mẫu trên hình may mà kết nối được,0,,,
225,"Đặt mua trước khi chỉ thị 16, vào ngày 6/7, nhưng 2 tháng sau mới nhận đc sách. Ok mình vẫn chấp nhận chậm vì tình hình chung. Nhưng khi nhận sách mở ra thấy cuốn sách như hình mình ko chấp nhận được. Bìa sách nhăn gãy, góc sách nhăn tùm lum. Cuốn sách mình bỏ gần 200k để nhận lại như vầy thật khó chịu.",0,,,
226,Hàng khá ọp ẹp. Ổ cứng đựng bên trong cũng rất lỏng lẻo laqcs kêu to,0,,,
229,"Không hài lòng, dễ bong. Chất lượng không như nơi khác chắc do hàng tồn",0,,,
233,"Ko xài được, dán lên mặt kính cũng ko dính, dán lên tường thì chắc chắn ko được. Cái này ngoài chợ 5k còn thấy mắc ko mua",0,,,
238,Tôi muốn trả lại hàng. Hàng kém chất lượng,0,,,
241,"Nhựa chất lượng thấp, không sử dụng cho một số loại tivi và tivi box được, khi mua cần tìm hiểu kĩ sản phẩm.",0,,,
243,Chất lượng quá kém. Rất tệ,0,,,
244,Kìm bấm mạng thì tạm ổn nhưng dao tuốt dây thế này thì tốt nhất lần sau bỏ đi nhé. Han gỉ thế này dùng làm sao đc,0,,,
245,"Dán không dính cứ bị bung, hàng giao không giống quảng cáo",0,,,
246,Dụng cụ cán nhỏ ko kẹp dc,0,,,
247,"Thiết bị kết nối không ổn định, hay bị gián đoạn. Công suất phát quá yếu, không như bài đăng",0,,,
249,Gắn vô chảy được chút xíu xong bít luôn ko chảy được,0,,,
250,Cài đặt khó quá ko cài đc. Dây mạng cắm vô laptop thì dùng đc. Cắm vô rounter thì ko có internet,0,,,
251,khoan gỗ MDF mà đã bị tuột giữa mũi khoan và đầu lục giác. Màu vãng mũi khoan bị hoen ố.,0,,,
252,"Hi vọng với bộ vệ sinh này sẽ tẩy đc vết bẩn ở trên màn hình. Nhưng không mong đợi. :((( 
Xuất xứ sản phẩm không rõ ràng, có tờ giấy toàn tiếng TQ chả hiểu gì.",0,,,
256,Sao lúc kết nối mạng ko dây mình ko tìm đc tên wifi chính để kết nối v haizzz,0,,,
265,"Sách rất dơ, bao mỗi cái hộp, còn bị chày xước, sách có vụn giấy nhỏ.Đặc biệt bị thủng mấy lỗ và dơ.Cân nhắc trc khi mua",0,,,
266,"Sản phẩm kém sang, khá rẻ tiền",0,,,
267,"Mình đã có bản tiếng anh, nên mua thêm bản tiếng việt về đọc cũng như để tham khảo cách dịch và học tiếng anh luôn. Nhưng mình hơi thất vọng xíu vì có những đoạn được viết thêm (chắc có thể là giải thích thêm cho dễ hiểu), có những đoạn sách thì hông có được dịch luôn (mới chương đầu đã thiếu hẳn gần 2 trang k dịch). Mình nghĩ nếu dịch thì phải dịch toàn bộ, đoạn nào viết thêm thì chú thích để đảm bảo nguyên bản chứ nhỉ. Hic mình hơi thất vọng luôn á 😭",0,,,
268,rất kém. kết nối tốc độ thấp. hay bị lỗi,0,,,
272,"Giao củ sạc chỉ 3,34A không đúng so với đơn hàng.",0,,,
274,"Mình có 2 con laptop HP (Envy & Pavillion), cắm đầu sạc này vào mãi không được vì không tương thích. Đọc quảng cáo thì bảo là sử dụng được cho hầu hết các loại laptop thông dụng, nhưng cơ bản là khó dùng. 
Kích thước thấy bảo nhỏ gọn nhưng còn cồng kềnh hơn cả bộ sạc sẵn của HP. Còn chất lượng an toàn và độ bền thì chưa đánh giá được vì chưa sạc được.",0,,,
275,"Card hoạt động, Nhưng pad dài không khớp, bị lờn một ốc giữa board, có ốc giữa thì không gắn được vào case. Dường như hàng đã bị đổi trả.",0,,,
276,"Chất lượng usb hãng acer mà làm bằng vỏ nhựa khá là thô sơ, độ hoàn thiện kém._x000D_
Tốc độ copy dao động 15-20Mb/s. Cũng tương đối._x000D_
Tốc độ không ổn định. _x000D_
Nói chung  khi mua phân vân với usb Sanddisk. Chọn cái này xem thử, để coi dùng được bao lâu.",0,,,
277,"Nhà bán hàng giao sai sản phẩm, đặt chủ nghĩa xã hội khoa học nhưng giao kinh tế chính trị mác lênin",0,,,
279,Thường xuyên rớt mạng. Phải rút nguồn ra cắm lại mới có,0,,,
280,"Chất lượng kém, keo ko dính",0,,,
281,Hàng giao nhìn không giống như hình.,0,,,
282,"shop ơi! mình vừa nhận được kệ tổ ong 4 tầng , nhưng bị bể như này rồi ,shop vui lòng đổi lại cho mình nha.",0,,,
284,Được 1 thời gian đầu. Dần dần thiết bị thu cũng như phát tín hiệu yếu. Thất vọng,0,,,
285,"Sách mới lật đọc mấy trang đầu đã nhanh bị bung gáy, lật tới đâu bung gáy tới đó",0,,,
286,Mình mua hàng ở tiki cũng nhiều lắm rồi nhưng đây là lần thứ 2 mình nhận được một quyển sách có tình trạng tệ như này.,0,,,
287,"Mua 5 miếng, 1 miếng gãy hoàn toàn, 4 miếng còn lại miếng nào cũng bị gãy góc.",0,,,
288,"Shop hỗ trợ dùm mình, sao bị lỗi màn hình xanh miết vậy",0,1,,
290,"Tôi thấy có quyển tiki đưa lên tên ""THE LITTLE BOOK : GIAO DỊCH THEO XU HƯỚNG NHƯ MỘT CHUYÊN GIA"", (shop 1980Books official), mà hình bìa lại là quyển ""The Little Book: Định giá cổ phiếu, đầu tư giá trị"". Vậy thì thật sự tiki đang bán quyển nào vậy",0,1,,
292,"Lần đầu tiên mua sách mà mình phải đánh giá 2*
Lúc mình nhận hàng, sách đc bọc bao nilon rất kỹ, mình tương đối hài lòng.
Nhưng bên trong thì: giấy rất mỏng, chữ trang sau chồng chéo lên trang này, lỗi chính tả nhiều. Đọc rất khó chịu.",0,,,1
293,"Nhân viên nhiệt huyết, giao hàng nhanh, nhưng khi mua ram về gắn vào máy thì bị lỗi, mình cảm thấy không hài lòng về chuyện này, mong tiki phản hồi.",0,,1,
294,Hàng nguyên seal nhưng bị lủng giấy quá chán khiếu nại nxb ko ai xử lý,0,,,
295,"gia công khá kém, hoặc do hàng lỗi, vừa mua sáng chưa kịp dùng, mở ra đã rách
k biết đổi được không?",0,,,
296,*** rồi. Sản phẩm là Usb2.0 to LAN 100Mbps mà lại quảng cáo là Usb3.0 và LAN 1Gbps,0,,,
298,"Đây là lần đầu tiên mà mình mua truyện gặp tình trạng như vầy... cầm quyển sách mới trên tay mà đau lòng. Quyển sách như kiểu để bị để trong góc nhiều vết trầy xước, góc trên sách còn có nhiều vệt đen bụi bẩn. Mong tiki cải thiện lựa chọn sách kĩ càng trước khi giao cho khách. Sách mới mà buồn thật sự.",0,,,
300,"dc gủi thiếu đồ , hình ảnh ko giống thực tế",0,,,
303,Dùng thời gian lo xo nó gian,0,,,
305,Liên tục chạy sai giờ dù đã chỉnh rất nhiều lần,0,,,
306,"Hơi nóng lưng
Không rút mồ hôi",0,,,
307,"sản phẩm rất tệ, không đáng để mua",0,,,
308,"sản phẩm ọp ẹp, không cứng cáp
không thỏa mãn được so với giá tiền bỏ ra
cảm thấy không xứng",0,,,
309,Mình đắt hộp mực 30A mà giao lộn mực này .,0,,,
311,"giấy chất rất tệ nha mọi người, hàng phake giấy vừa mủn vừa mùi",0,,,
316,"Thử cả chục cách từ down drive, chạy phần mềm, khởi động vẫn ko lên wifi",0,,,
317,thấy sản phẩm để lấp được cho socket AM4 của AMD nhưng mua về lắp ko vào được,0,,,
318,Chán chả muốn nói. Mỗi lần mở lại phải đăng nhập thì nó ms có mạng. Thi thoảng k kết nối mạng đc mặc dù trạng thái đã kết nối. Đúng của rẻ là v,0,,,
320,"Mới mua về in đã bị mờ, nhắn cho shop thì yêu cầu gửi này gửi kia rồi đợi xử lý. Mỗi ngày xài mỗi mờ tới khi mờ căm ko xài dc nữa vẫn chưa xử lý phải tự kêu thợ tới. Thì thợ kiểm tra hợp mực đã để lâu ngày quá khô hết mực bên trong, bơm mực không lên được nữa phải thay hợp mực mới gần 600k. Máy mua xài in chưa được 20 tờ A5. Mình trước có mua 1 máy y chang ở chổ khác xài phà phà không bị gì",0,,,
321,"Bản thân mình thấy sách không mang lại giá trị/nội dung gì trong việc làm giàu. Nội dung sách viết xoay quanh ""ham muốn"", ""niềm tin"", ""lên kế hoạch"" và một số mẫu truyện ngắn mang tính khích lệ tinh thần người đọc.

Mọi người không nên tốn thời gian và tiền để đọc cuốn self-help này. Đọc xong có khi còn bị giảm IQ :D.",0,,,
322,"Ủa tập 7 này là phát hành đầu năm nay, chưa có bản tái bản, có nghĩa là 100% sản phẩm trên thị trường mặc định sẽ có quà tặng kèm của nhà xuất bản vậy quà tặng tập này của mình đâu??? Giao tới postcard không có chỉ có mỗi truyện, nếu chỉ được mỗi truyện mình đã không chọn mua ở Tiki Trading rồi.",0,,,
323,"Khui hàng chưa đến 1p mà phải thốt “ô tô kê” chục lần. Tương truyền rằng tiki đóng hàng chẳng mấy khi dùng chống sốc. Những mặt hành dễ bị df như sách truyện tiki cũm chẳng mấy khi dùng ^_^ trước đặt truyện *** đóng trong mỗi cái hộp carton, mở hàng mà tim đập thình thịch cơ mà may quá k bị df. Lần này đặt cũng chả có chống sốc, khui ra df 1 đống. Bụi dính đầy seal, dập góc sách, bìa sách bị cái j đó đè lên nên cái mặt oppa xà lách trên bìa bị lõm, sách in thừa trang lại còn dính vào nhau 🥺 và cay hơn là khum có bookmark và card =)))))))) ồ tố kê ồ tô kê chìn chá ????? Aishhhhhhh 😡",0,,,
324,Gắn vào máy lúc in kêu như máy xay lúa,0,,,
328,"Sản phẩm như mô tả, Tiki đóng gói tốt và giao hàng đúng hẹn. Tuy nhiên, mình nằm được vài hôm thì có 1 hôm dậy bị đau bả vai sau kinh khủng. Cả ngày hôm đó đau lan xuống cả sống lưng gần thắt lưng. Mình phải nghỉ hẳn 1 ngày và không nằm gối này nữa thì mới hết đau. Có lẽ là chỉ nên nằm để thư giãn cơ cổ lúc thức, chứ nếu nằm ngủ xoay trở nhiều, bị lệch tư thế thì gối này dễ gây đau cơ :(",0,,,1
330,"Kết lối không ổn định, nghe nhạc hay xem phim kết lối qua loa không dây bluetooth hay bị mất âm thanh... tệ",0,,,
331,Rất khó bơm vào bạt lửa. Xì ra ngoài nhiều.,0,,,
333,bộ ba nồi inox của tôi bị bể một nắp nồi và bị méo một nồi to,0,,,
334,"chất lượng sách tốt, nhưng nội dung lại quá dài dòng, 1 quan điểm giải thích mấy mươi trang, lại còn đưa ra mấy từ viết tắt vớ vẫn rồi giải thích từng chữ cái trong đó là ý nghĩa gì thêm mấy mươi trang nữa",0,,,
335,"quá dởm mới sài chưa đc 1 tháng đã bị vấn đề rồi: lâu lâu sạc không đc, phát wifi chập chờn nhiều lúc không tải được j luôn.",0,,,
336,Về lắp không chạy máy hp135a,0,,,
339,"Chảo bị  cao ở giữa dầu ko tới được, còn 4 xung quanh thì lõm xuống",0,,,
340,"không đúng kích thước , pin bị quâ nhỏ",0,,,
341,"chỉ 1 cổng ra hoạt động, cổng còn lại die",0,,,
342,"Không xài được, mực ko đều",0,,,
343,"Tôi mới mua về dùng thì nắp đóng Ko khớp, Ko đóng dc. Tôi chỉ bị lỗi này. Còn chất lượng nhựa tốt  tôi mong muốn dc đổi trả sản phẩm",0,1,,
344,"đợi hơn 1 tuần để rồi nhận sách gãy nếp, bìa bong ra thế này. Hy vọng Fahasha chú ý hơn,. thật thất vọng",0,1,,
345,"Tôi vừa mua cách đây vài ngày, sản phẩm của tôi bị lỗi cổng WAN, tôi cần đổi lại một sản phẩm khác xin hãy liên hệ với tôi qua sđt ***",0,1,,
346,"dây cáp quang gặp vấn đề rồi đèn báo cáp không sáng, chắc bị đứt một đầu rồi",0,,,
348,Không đúng loại của mình cần nà ko đổi lại được,0,,,
349,"sách in màu đen trắng, nên ảnh khó nhìn quá. Còn nét chữ thì in cũng rõ. NCl nếu tranh có chút màu vô thì sẽ dễ coi và đẹp hơn.",0,,,
350,"Quá tệ, sách không được bọc bảo vệ, chỉ bỏ vào hộp giấy và bị ép dập, làm sách bị dập góc trông rất xấu",0,,,
353,"Tôi là người mua hàng ở Hà Nội và có đặt mua đèn diệt côn trùng DS-D6 vào này 8/4/2019 và hôm nay tôi đã nhận được sản phẩm.

Tuy nhiên ngay khi mở hộp ra thì đèn cắm điện không lên. Hình ảnh thì như hình đính kèm.

Tôi mong muốn nhân được lời giải thích của Tiki và nhà cung cấp về việc KIỂM TRA CHẤT LƯỢNG SẢN PHẨM TRƯỚC KHI GIAO HÀNG.

Là một người thường xuyên mua sắm trên Tiki, tôi hy vọng Tiki sẽ sớm hỗ trợ tôi đổi trả sản phẩm này.

Xin cám ơn!

Trân trọng,",0,1,,
356,"bắt wifi quá yếu, thua cả cục thu không có anten",0,,,
357,sách hơi cũ và hơi bị bẩn,0,,,
