content,Quality,Service,Shipping,Packing
914,"Tiki đóng gói cực kỳ cẩu thả & không có tâm. Quyển sách rất dày & nặng được quăng chông chênh trong chiếc hộp to mà ko hề có chèn lót như những năm đầu. Sách qua 1 tháng lưu lạc khắp nơi do dịch đã móp méo các góc (Đã bị rất nhiều quyển, phản hồi trả nhiều lần nhưng mua Tiki trading thì phải chấp nhận thái độ cẩu thả này). 

Nội dung sách kinh điển, được đánh giá rất cao do cách diễn giải độc đáo & minh họa bằng hình ảnh ấn tượng.

Hình thức: sách bìa cứng, giấy bóng in màu rất đẹp. Nhã Nam biên tập hết sức chỉn chu, dịch giả Phan Linh Lan cũng rất nhuần nhuyễn qua bản dịch các tác phẩm lịch sử kinh tế.",1,0,,
919,"Ko thấy tem dán bảo hành . Thấy có mỗi tờ phiếu bảo hành trắng trơn chưa ghi gì . Mong tiki sớm phản hồi , 3 hôm rồi chưa thấy phản hồi",,0,,
921,Shop phản hồi chậm.yêu cầu xuất hoá đơn cả tháng không xuất,,0,,
944,"Sản phẩm dùng ngày đầu tiên ổn định, đóng gói bình thường.
Đánh giá 1 sao cho chính Tiki Trading, đơn vị phân phối sản phẩm. Ngày đặt hàng và thanh toán trước là 01/11, ngày cam kết giao hàng là 15/11, đến ngày 20/11 mới bắt đầu xử lý đơn hàng, và ngày 22/11 nhận được hàng. 2 lần nhận phàn nàn vào ngày 17/11 và 20/11, Tiki chỉ có trả lời bằng email với lời xin lỗi sáo rỗng. Một giao dịch thương mại bị vi phạm cam kết, nhưng Tiki đã cho khách hàng thấy ""uy tín"" của mình và ko có bất kỳ hành động nghiêm túc để bồi thường việc vi phạm của mình.
Lần cuối cùng comment ở đây, và app Tiki sẽ được xóa ngay comment này.",,0,,
951,"Lừa đảo, đăng hình 1 đăng giao 1 nẻo. Đăng hình tplink, giao hãng khác",,0,,
954,Tại sao ns tặng áo mà ko có,,0,,
955,"Mình đặt Tikinow nên giao nhanh
Nhận xét về sản phẩm
- Hàng mới nguyên seal tem box là của phammemchinhhang
- Adapter là phiên bản màu đen, mình cứ nghĩ là sẽ nhận đc màu trắng thì sẽ đẹp hơn
- sản phẩm ko có tem bảo hành, chả biết sau này hư lỗi thì dựa vào gì để bảo hành nữa. Mình có đặt câu hỏi về bảo hành cho Tiki, mà quá trình duyệt và trả lời của Tiki quá lâu nên mình viết đánh giá lên này luôn
- Chất lượng thì tuyệt vời, nhà mình 2,5 tầng, đặt 3 node cover toàn bộ k góc chết, đặt ở chế độ AP, nói chung sản phẩm rất đáng mua và tốt cho nhà nào nhiều tầng nhiều tường, thự roaming rất tuyệt vời",1,0,,
956,"Hiện tại Ram thì OK, tuy nhiên hoá đơn xuất rẩt chậm, nên khó khăn cho User",1,0,,
968,Đã nhập thông tin yêu cầu hóa đơn đỏ nhưng không nhận được hóa đơn,,0,,
969,vẫn chưa nhận được cây mà shop,,0,,
971,"thật sự thất vọng về thái độ phục vụ bán hàng của shop. hàng dùng được 2 tuần thì bay hết màu. nhân viên gọi kêu tặng nước hoa trị giá 600k, mình hỏi vậy mình thanh toán bao nhiêu, nv bảo chỉ còn 99k. mình nói lại là: ""mình tưởng tặng ko chứ 99k thì đùa chứ mình ko dùng"". Nhân viên kêu: ""chị vô duyên vừa vừa thôi, đùa gì mà đùa kiểu đó. người mất lịch sự..."" mình nói xin lỗi mình đang bận rồi tắt máy mà vẫn nghe thấy từ ""cái loại"". thật sự quá thất vọng",,0,,
974,Khi nhận sản phẩm nhìn cũng ưng ý nhưng khi cần nhân viên hỗ trợ cài đặt thì không làm cách nào có thể liên hệ được mặc dù đã gửi tin nhắn qua chat mà không nhận được sự phản hồi. Không biết có phải bsns được hàng rồi là thôi không ...,,0,,
988,"Sách nhìn xấu, có lỗi , trông như hàng vất đi không biết chất lượng như nào",,0,,
1008,Để hình tăng bút mà không tăng. Sách có bọc nilon,,0,,
1014,Giao ko dung như hàng đã đặt. Do lừa đảo,,0,,
1021,"Tiki giao hàng nhanh 
Tuy nhiên, sản phẩm tôi kiểm tra bảo hành thì không có bảo hàng ( xem hình chụp) trong khi trên sản phẩm ghi là bảo hành 3 năm. Hơn nữa sản phẩm chính hãng trên bao bì có 5TB nhưng sản phẩm này lại gi là 5TB To. Cưat hàng vui lòng giải thích tại sao lại không có bảo hành chính hãng theo web chính thức của WD? Và vì sao có sự khác biẹt thông tin bao bì này?",,0,1,
1031,hình ảnh chuẩn đẹp. NHƯNG HÀNG BÁN TẠI VIỆT NAM THÌ LÊN CÓ TEM PHỤ + HDSD TIẾNG VIỆT+ CÔNG TY PHÂN PHỐI NHÃM TIẾNG VIỆT DÁM TRÊN THÂN BÌNH. VÌ THIẾU NHỮNG THỨ KỂ TRÊN TÔI 2*,,0,,
1033,"Tôi đặt bộ bút màu 60 màu. Tôi nhận đc bộ bút màu 40 màu + 1 số tiền (tôi đoán là tiền chênh lệch giữa 2 sản phẩm). Tôi không được thông báo về sự thay đổi này và hỏi ý kiến tôi có chấp nhận sự thay đổi hay không. Ngoài ra bao bì bị móp méo nhìn thiếu chuyên nghiệp, cẩn thận, không có logo của Tiki. Thời gian giao hàng chậm hơn xác nhận ban đầu của Tiki.
Đề nghị Tiki xem xét vấn đề để giao hàng theo đúng đơn hàng đã đặt.",,0,,
1037,"Shop giao không đúng sản phẩm mình đã đặt. Thứ nhất không đúng loại đồng hồ, mình đặt đồng hồ kim trôi nhưng Shop lại giao kim nhảy. Thứ hai, mình đặt đồng hồ nền trắng, viền xám nhưng Shop lại giao đồng hồ hình nền mèo Kitty, viền xanh (như hình đính kèm). Yêu cầu tiki đổi lại sản phẩm cho mình.",,0,,
1044,Hàng sai so với mẫu quảng cáo,,0,,
1046,"đã nhận được hàng,hình thì mẫu này nhưng nhận là mẫu khác, cho shop 3 sao vì đủ số lượng và thùng kèm theo.",,0,,
1055,"1 sao này là cho cả nhà hàng hàng và tiki.  Nhà bán hàng thì không  xuất hoá đơn, liên nt cho tiki thì keu gọi , mất 1.000đ/ phút để gọi. Vừa đã k nhận dc hoá đơn còn lại tốn thời gian tiền để gọi lại cho tiki. Lỗi phát sinh từ nhà bán hàng thì tiki phỉ liên lạc với khách. Tôi tin tưởng tiki mới mua chứ tôi biết nhà bán hàng là ai",,0,,
1057,"Công ty mình mua 02 máy, 01 máy bị trục trặc nên gửi về TIKI bảo hành. Bây giờ phải chờ 21 ngày mới biết kết quả như thế nào. Các bạn mua máy nên cân nhắc vấn đề phát sinh khi phải gửi bảo hành sản phẩm.",,0,,
1064,"Giao sai màu đặt hàng , có nhắn tin lại cho shop nhưng không nhận được phản hồi",,0,,
1067,"1 sao vì mình đặt hàng lúc 10h hơn nhưng tới 5:30 chiều mới nhận được hàng, Tikinow 2h không đúng như mong đợi, ngồi chờ cả ngày đến chiếu tối mới có máy khoan, giờ này là giờ nghỉ ngơi mà khoan lên cho hàng xóm người ta chửi vô mặt.",,0,,
1068,"Shop giao sai hàng cho mình, mình liên hệ xử lý thì đây là cách phản hồi, còn bảo là ""cho phép mình trả hàng"", sau đó lừa mình, hứa là hoàn tiền phần chênh lệch giữa 2 loại hàng rồi khi mình nhắn STK thì block mình luôn!!!_x000D_
_x000D_
Hàng nhiều người bán, nhưng thái độ và đạo đức thế này các bạn nên tránh ạ, kẻo giống mình sẽ mang tức vào thân, không đáng!",,0,,
1072,"Hàng giao sai ! Hàng đăng với hình ảnh cũng như mô tả là ổ đĩa gắn ngoài nhưng khi giao hàng lại giao ổ đĩa gắn trong. _x000D_
Kiểm tra lại trên tiki thì thấy tăng giá (bây giờ là 350k thay vì lúc mua là 280k)._x000D_
Nếu tăng giá thì gọi điện thoại thông báo cho KH, đằng này tự ý giao hàng sai. Đề nghị Tiki xem lại cửa hàng này._x000D_
Tôi đang làm khiếu nại để đổi hàng. Tôi gửi kèm hình để mọi người thấy rõ việc lừa dối KH của cửa hàng này.",,0,,
1080,Nhầm size thì làm sao ah?,,0,,
1084,"Hàng giao nhanh. Lúc đặt mua Tiki Trading Sale đã hơi lo lắng rồi. Đến lúc nhận hàng thì quả là như dự đoán. Ngày xưa hồi 2*** thấy Tiki đóng gói sách cẩn thận lắm nhé_x000D_
Nhưng giờ thấy Tiki đóng gói càng ngày càng ẩu. Nếu ko thể chạy đua với các trang thương mại điện tử khác về giá cả hoặc doanh số bán hàng thì mình nên chăm chút kỹ hơn cho sản phẩm chứ._x000D_
Từ giờ sẽ không bao giờ mua Tiki Trading lúc sale nữa! Thề đấy!",,0,1,
1085,"Gửi thiếu sách. Liên hệ shop thì có bảo gửi bì nhưng bên tiki thủ tục rườm rà, nói chung là buồn :((((",,0,,
1088,"Giao sai hàng, không đúng loại đã đặt",,0,,
1096,Rất rất không hài lòng. Mình chọn loại này vì thích màu xanh. Vậy mà giao màu đen. Thấy không được tôn trọng.Khi giao  không đúng theo hình ảnh thì nên hỏi khách hàng có đồng ý hay không.,,0,,
1098,"Không có hướng dẫn kích hoạt bảo hành và xem số imei rõ ràng cho khách hàng. Khách nào quan tâm tự hỏi thì phải gọi tổng đài rắc rối nhiều lần để được hướng dẫn kích hoạt bảo hành, còn khách hàng nào ko thắc mắc thì coi như mất bảo hành. Tiki ko hề chủ động hướng dẫn khách hàng để bảo vệ quyền lợi của mình",,0,,
1108,"Shop gửi nhầm size rồi, mua size 80x80 mà giao thành size nhỏ hơn",,0,,
1123,Không thấy báo bảo hành về máy,,0,,
1153,Shop lm ăn ko uy tính giao hàng ko đúng số lượng mét ko đúng như trên bao bì đóng,,0,,
1162,"Vừa mới mua hàng giá 999000 trong 1 nốt nhạc, giảm giá còn 8990000... Nản thiệt. Ngoài ra, lại không giao quà tặng kèm (chảo) vậy shop ?",,0,,
1166,"Shop lớn làm ăn k có uy tín. Gửi sai sản phẩm nhưng k có thiện ý mà chỉ muốn đổ lỗi, k trao đổi mà chỉ muốn đổ, thái độ k nhiệt tình. K nên mua hàng tại shop để tránh bực tức.",,0,,
1180,"Thật sự quan ngại về chính sách bảo vệ khách hàng của Tiki, dù cho có bao nhiêu review không hài lòng nhưng vẫn để bán sản phẩm không như mô tả.",,0,,
1188,Xuất hóa đơn hơi châm. Dây thì oki,1,0,,
1189,"Mua loại 89k mà shop gưi loại 42k, treo đầu dê bán thịt chó.",,0,,
1193,"tôi đặt mua bộ sách tô màu cho bé vậy mà shop lại gửi cho tôi cuốn sách bài tập nâng cao toán lớp 9. không hiểu shop làm ăn kiểu gì luôn, chắc là chỉ muốn bán hàng cho khách một lần thôi phải không. Thất vọng quá.",,0,,
1209,"giao hàng màu sám bạc mà mjh thấy trên wed màu đen giống case của mjh nên mjh mới mua hàng giờ giao cho mjh màu sám bạc .Mình rất thất vọng ,nhưng thấy anh siper nhiệt tình nên mjh mới lấy luôn mong shop sau để y giao hàng cho khách đúng như hình như shop đã đặt trên ứng dụng tiki",,0,1,
